Enroll,Age,Income,Hours
1,56,124000,8
0,33,85000,13
0,39,30000,11
1,68,198000,6
1,62,33000,7
1,65,32000,12
1,58,90000,10
1,65,90000,11
1,65,111000,14
0,50,56000,3
0,39,67000,5
1,48,122000,11
0,47,77000,18
0,38,77000,13
0,33,87000,16
0,32,87000,10
0,42,46000,6
1,54,121000,3
0,26,52000,15
0,25,66000,10
1,59,64000,4
1,49,114000,6
1,47,102000,3
0,41,110000,14
0,47,58000,8
0,40,108000,15
1,54,95000,16
0,32,52000,8
1,48,94000,7
1,56,87000,13
0,28,44000,6
0,53,18000,17
1,65,59000,16
0,41,73000,14
1,64,94000,6
0,42,91000,18
0,38,73000,10
1,47,92000,7
0,47,38000,11
0,25,48000,6
1,63,26000,10
1,48,138000,8
0,59,11000,17
1,61,48000,15
0,27,59000,14
0,36,27000,17
1,57,84000,12
1,47,116000,5
0,36,23000,7
0,33,33000,16
1,61,143000,15
0,26,29000,17
0,41,57000,8
0,40,97000,7
0,24,36000,7
0,33,37000,14
1,53,66000,5
0,48,31000,8
0,45,97000,12
0,59,10000,8
1,50,65000,9
0,52,4000,3
0,39,37000,13
1,45,135000,14
0,40,36000,8
0,42,88000,10
0,22,27000,5
0,49,62000,8
0,26,26000,10
0,33,44000,12
1,61,180000,4
0,27,66000,5
0,44,38000,17
0,28,73000,15
1,68,185000,6
1,64,13000,13
1,54,66000,4
0,43,108000,9
0,24,17000,3
0,33,10000,16
0,31,67000,16
0,32,51000,4
0,41,38000,10
0,32,88000,15
1,52,106000,8
1,58,85000,9
1,64,42000,17
1,52,89000,17
0,30,63000,17
1,61,12000,2
0,44,34000,8
0,38,61000,13
0,43,16000,6
1,48,81000,9
0,39,95000,16
0,29,27000,7
1,44,133000,6
1,57,71000,11
0,38,54000,8
0,29,42000,7
0,26,79000,17
0,40,36000,5
1,52,114000,8
1,66,35000,15
1,55,103000,10
0,30,13000,11
0,31,74000,15
1,65,30000,7
0,53,24000,15
1,67,130000,2
0,29,9000,15
0,59,80000,17
0,52,24000,17
0,56,85000,7
0,41,10000,7
0,40,28000,17
1,53,83000,10
0,30,30000,13
0,25,11000,5
0,53,2000,4
1,66,110000,8
0,38,92000,10
1,60,111000,9
0,28,7000,13
1,67,105000,7
0,27,6000,13
1,53,75000,13
0,30,88000,3
0,46,32000,16
1,51,146000,6
0,41,75000,8
0,26,37000,14
1,67,137000,8
0,29,2000,12
1,63,14000,16
0,36,81000,16
0,35,30000,2
0,49,60000,5
0,54,13000,15
0,40,20000,13
0,27,8000,7
1,66,142000,3
0,22,27000,6
0,35,47000,10
1,57,162000,14
0,46,51000,18
0,29,86000,6
0,32,11000,11
1,61,109000,2
1,54,120000,9
0,31,42000,17
0,29,72000,9
0,22,23000,17
1,64,41000,14
0,38,8000,16
0,24,5000,13
1,67,98000,15
0,27,3000,18
1,67,41000,3
1,58,25000,8
0,26,11000,15
0,34,6000,16
0,24,55000,11
0,59,147000,9
0,27,63000,12
0,53,10000,14
0,25,60000,4
1,66,18000,9
0,45,10000,4
0,48,24000,8
0,34,79000,10
0,39,74000,7
1,62,150000,14
0,41,109000,13
0,38,64000,17
0,25,70000,8
1,49,129000,14
0,38,63000,6
0,41,94000,18
1,62,6000,8
0,37,42000,10
0,53,13000,9
0,56,11000,11
1,50,68000,8
0,24,3000,12
0,47,16000,10
0,47,74000,12
0,49,9000,15
0,49,24000,17
0,66,118000,7
0,38,25000,15
0,42,116000,8
0,26,50000,15
1,51,142000,8
0,44,17000,3
0,25,13000,9
1,25,75000,12
0,26,50000,17
1,48,113000,3
1,60,86000,16
1,56,160000,11
0,22,22000,12
0,37,85000,13
0,34,66000,10
0,29,68000,9
1,61,184000,13
1,21,58000,17
0,31,28000,10
0,45,77000,17
0,53,26000,4
1,58,49000,11
1,25,75000,9
1,57,165000,13
0,24,39000,13
1,52,102000,16
0,61,3000,4
1,63,153000,3
0,36,103000,17
0,53,145000,13
1,45,120000,9
1,52,64000,13
1,56,36000,13
1,62,15000,3
0,48,131000,9
0,46,25000,9
1,64,176000,5
1,65,105000,6
1,59,124000,12
1,56,154000,16
0,33,61000,11
0,38,89000,15
0,28,56000,4
1,65,79000,11
1,65,31000,6
1,59,78000,5
0,36,105000,17
1,59,92000,7
0,39,29000,4
1,65,101000,3
0,36,85000,3
1,68,61000,10
0,47,53000,9
1,56,129000,13
0,32,92000,16
1,52,98000,7
0,31,27000,16
0,22,19000,17
0,21,27000,17
0,27,67000,15
0,32,97000,15
0,25,46000,13
0,50,34000,10
0,44,111000,7
1,65,114000,6
1,51,66000,5
0,63,179000,4
1,58,117000,9
1,50,131000,13
0,44,18000,17
0,24,39000,13
1,22,59000,9
0,41,18000,3
0,23,46000,7
0,54,138000,13
0,40,114000,18
0,28,73000,3
1,46,97000,9
1,61,92000,6
0,53,37000,5
0,46,126000,4
0,26,60000,14
0,25,64000,15
0,45,2000,10
0,23,5000,8
0,27,64000,18
1,65,173000,8
0,48,56000,9
0,29,15000,11
0,28,78000,5
1,51,79000,14
0,32,16000,12
0,44,21000,16
0,27,14000,18
0,41,9000,16
1,65,12000,14
1,59,132000,10
1,64,65000,2
0,22,13000,15
0,45,72000,11
1,60,144000,9
0,24,5000,7
1,22,67000,6
0,30,89000,12
0,24,15000,3
1,61,61000,7
0,31,8000,9
1,54,150000,6
1,58,130000,5
1,47,130000,6
0,30,20000,11
1,48,91000,6
0,46,129000,11
1,45,105000,18
1,61,90000,5
1,57,94000,16
0,39,27000,6
1,56,60000,18
0,23,9000,4
1,54,85000,15
0,30,41000,4
0,27,60000,9
0,25,31000,10
1,62,77000,11
0,26,13000,2
1,47,109000,7
0,42,55000,11
0,43,68000,2
0,36,21000,11
1,58,157000,17
0,23,53000,17
0,43,17000,3
1,59,85000,14
0,34,26000,9
1,61,25000,16
0,39,105000,5
0,40,108000,7
0,22,12000,4
1,61,29000,14
1,65,139000,13
0,35,64000,7
0,44,83000,13
1,66,77000,18
0,23,8000,4
0,39,10000,12
1,60,83000,2
0,40,119000,6
0,62,162000,15
0,49,44000,3
0,46,17000,13
1,54,75000,4
0,30,45000,16
1,67,129000,5
0,34,57000,15
1,57,64000,7
0,52,1000,7
0,55,25000,9
1,48,135000,10
1,21,51000,8
1,65,36000,18
1,53,93000,2
0,25,36000,9
0,25,38000,10
0,41,16000,15
1,60,88000,16
1,65,114000,9
0,48,65000,13
1,63,136000,14
1,62,128000,8
0,55,7000,3
0,52,37000,3
0,24,4000,7
0,28,56000,7
0,22,31000,16
1,52,144000,7
0,28,71000,17
0,36,80000,7
0,48,121000,7
1,51,88000,11
0,26,64000,9
1,45,134000,8
0,45,21000,16
0,47,60000,12
1,60,18000,11
0,31,80000,2
1,55,29000,2
0,37,109000,18
0,38,80000,3
1,55,71000,4
1,57,112000,8
0,39,98000,15
0,35,32000,5
0,36,63000,15
0,23,2000,4
1,56,137000,6
0,29,44000,13
0,36,62000,6
0,26,39000,15
0,46,86000,16
0,41,9000,15
1,22,66000,10
0,40,59000,2
0,38,110000,13
1,49,79000,10
1,59,37000,14
1,57,51000,18
1,57,119000,16
0,58,9000,12
0,28,35000,9
1,65,105000,9
1,62,187000,5
0,24,43000,10
0,23,22000,13
0,47,9000,5
0,32,70000,11
1,48,145000,3
1,61,108000,12
0,46,9000,8
1,62,137000,16
0,44,65000,11
1,64,157000,18
1,62,95000,14
0,26,27000,11
0,37,26000,16
0,42,36000,9
0,28,12000,15
0,33,74000,7
0,28,76000,3
0,35,24000,16
0,35,9000,6
1,65,171000,15
0,23,57000,16
1,21,57000,16
0,49,51000,9
1,55,90000,14
0,55,16000,2
0,46,91000,17
0,64,86000,10
1,61,158000,10
1,45,122000,12
0,35,22000,17
1,51,122000,3
1,63,90000,14
0,41,41000,12
0,62,109000,15
0,25,32000,7
0,33,46000,11
0,34,101000,5
0,21,28000,5
0,35,103000,15
1,65,157000,5
1,64,170000,6
1,55,78000,7
1,49,147000,16
0,25,48000,13
1,61,85000,5
1,63,139000,11
0,36,19000,3
1,54,91000,14
1,59,139000,11
0,64,168000,18
0,56,19000,2
0,22,36000,13
1,23,65000,12
0,32,9000,11
1,59,58000,8
0,33,79000,15
1,64,132000,5
0,38,41000,9
0,47,31000,7
0,33,50000,15
1,23,58000,6
0,44,22000,8
1,45,107000,4
0,36,36000,14
1,46,125000,16
0,39,4000,7
0,48,109000,9
0,31,33000,10
1,64,119000,2
0,31,31000,17
0,32,95000,5
1,49,121000,12
0,45,76000,4
1,62,161000,15
1,54,44000,2
0,48,67000,3
0,50,151000,18
1,68,82000,16
1,67,28000,5
0,36,31000,4
0,38,78000,7
1,57,125000,14
1,64,30000,4
0,42,68000,4
0,33,12000,8
0,44,79000,14
1,58,18000,13
1,47,141000,8
0,24,17000,11
0,39,5000,13
0,38,5000,3
1,55,70000,17
1,68,64000,15
0,48,67000,18
